ID	Resource name
10	minecraft:frozen_ocean
108	biomesoplenty:corrupted_sands
183	twilightforest:enchanted_forest
165	minecraft:mutated_mesa
261	advancedrocketry:volcanicbarren
292	theabyss:deathdimension
103	biomesoplenty:kelp_forest
208	defiledlands:hills_defiled
98	biomesoplenty:pasture
128	mist:up_jungle_edge
178	twilightforest:twilight_clearing
173	twilightforest:mushroom_forest
258	advancedrocketry:oceanspires
198	tfc:mountains
259	advancedrocketry:moondark
34	minecraft:extreme_hills_with_trees
43	biomesoplenty:alps
83	biomesoplenty:shield
101	biomesoplenty:snowy_tundra
287	theabyss:abyssnetherdessert
289	theabyss:lirombiome
167	minecraft:mutated_mesa_clear_rock
279	theabyss:theabyssbiomewinter
249	midnight:hilly_fungi_forest
15	minecraft:mushroom_island_shore
245	midnight:obscured_plateau
193	tfc:high_hills
86	biomesoplenty:snowy_forest
95	biomesoplenty:alps_foothills
99	biomesoplenty:glacier
159	thaumcraft:eerie
142	mist:border_desert
82	biomesoplenty:seasonal_forest
275	theabyss:theabyssbiomedim
135	mist:up_jungle_hills
75	biomesoplenty:outback
80	biomesoplenty:redwood_forest
93	biomesoplenty:woodland
251	advancedrocketry:alien forest
105	biomesoplenty:tropical_island
13	minecraft:ice_mountains
162	minecraft:mutated_extreme_hills_with_trees
57	biomesoplenty:fen
157	minecraft:mutated_roofed_forest
42	biomesoplenty:origin_beach
14	minecraft:mushroom_island
134	minecraft:mutated_swampland
226	netherex:arctic_abyss
255	advancedrocketry:crystalchasms
233	tardis:mountains
197	tfc:rolling_hills
295	theabyss:abyssphantombiome
1	minecraft:plains
49	biomesoplenty:chaparral
41	biomesoplenty:white_beach
187	twilightforest:thornlands
69	biomesoplenty:meadow
107	biomesoplenty:flower_island
124	mist:up_swampy_meadow
231	tardis:redlands
12	minecraft:ice_flats
144	mist:border_swamp
87	biomesoplenty:steppe
117	mist:up_savanna
152	mist:down_swamp
0	minecraft:ocean
225	netherex:torrid_wasteland
189	tfc:ocean
30	minecraft:taiga_cold
209	defiledlands:swamp_defiled
182	twilightforest:dark_forest
179	twilightforest:oak_savannah
73	biomesoplenty:ominous_woods
203	appliedenergistics2:storage_biome
207	defiledlands:forest_vilespine
268	thebetweenlands:sludge_plains
120	mist:up_snowfields
140	minecraft:mutated_ice_flats
215	erebus:elysian_fields
114	mist:up_meadow
195	tfc:swampland
59	biomesoplenty:grassland
74	biomesoplenty:orchard
33	minecraft:redwood_taiga_hills
19	minecraft:taiga_hills
257	advancedrocketry:marsh
32	minecraft:redwood_taiga
192	tfc:gravel_beach
285	theabyss:deathlandsdark
191	tfc:beach
113	jeid:error_biome
36	minecraft:savanna_rock
206	defiledlands:forest_tenebra
184	twilightforest:fire_swamp
52	biomesoplenty:coniferous_forest
136	mist:up_lake
229	tardis:telos_orange
4	minecraft:forest
61	biomesoplenty:highland
56	biomesoplenty:eucalyptus_forest
3	minecraft:extreme_hills
20	minecraft:smaller_extreme_hills
194	tfc:plains
213	erebus:volcanic_desert
154	thaumcraft:magical_forest
2	minecraft:desert
291	theabyss:abyssdeathnether
241	midnight:obscured_peaks
276	theabyss:theabyssbiomedim2
277	theabyss:theabyssbiomedim4
46	biomesoplenty:bog
29	minecraft:roofed_forest
110	biomesoplenty:phantasmagoric_inferno
106	biomesoplenty:volcanic_island
78	biomesoplenty:quagmire
180	twilightforest:firefly_forest
186	twilightforest:highlands_center
181	twilightforest:deep_mushroom_forest
188	twilightforest:spooky_forest
199	tfc:mountains_edge
266	thebetweenlands:coarse_islands
100	biomesoplenty:oasis
89	biomesoplenty:tropical_rainforest
236	thaumicaugmentation:emptiness_highlands
280	theabyss:souldabyss
256	advancedrocketry:deepswamp
55	biomesoplenty:dead_swamp
223	netherex:ruthless_sands
31	minecraft:taiga_cold_hills
44	biomesoplenty:bamboo_forest
243	midnight:crystal_spires
50	biomesoplenty:cherry_blossom_grove
151	minecraft:mutated_jungle_edge
220	erebus:petrified_forest
27	minecraft:birch_forest
6	minecraft:swampland
129	minecraft:mutated_plains
176	twilightforest:snowy_forest
238	midnight:black_ridge
79	biomesoplenty:rainforest
147	mist:separator
121	mist:up_taiga
48	biomesoplenty:brushland
196	tfc:high_hills_edge
64	biomesoplenty:lush_desert
219	erebus:fields_sub_forest
122	mist:up_hilly_taiga
177	twilightforest:twilight_glacier
133	minecraft:mutated_taiga
240	midnight:fungi_forest
54	biomesoplenty:dead_forest
265	thebetweenlands:deep_waters
77	biomesoplenty:prairie
