+-------+------------------+---------------------+-----------------+------------------+----------------------------------------------------------------------+
|    ID | DimensionType ID | Name                | shouldLoadSpawn | Currently loaded | WorldProvider class                                                  |
+-------+------------------+---------------------+-----------------+------------------+----------------------------------------------------------------------+
|     0 |                0 | overworld           |            true |             true | net.minecraft.world.WorldProviderSurface                             |
|    20 |               20 | betweenlands        |           false |            false | thebetweenlands.common.world.WorldProviderBetweenlands               |
|   144 |              144 | CompactMachines     |           false |            false | org.dave.compactmachines3.world.WorldProviderMachines                |
|    66 |               66 | EREBUS              |           false |            false | erebus.world.WorldProviderErebus                                     |
|     2 |                2 | TENT                |           false |            false | com.yurtmod.dimension.WorldProviderTent                              |
| 14676 |            14676 | emptiness           |           false |            false | thecodex6824.thaumicaugmentation.common.world.WorldProviderEmptiness |
|    10 |               10 | The Beneath         |           false |            false | com.shinoow.beneath.common.world.WorldProviderDeepDank               |
|     4 |                4 | theabyssdim         |            true |             true | net.yezon.theabyss.world.WorldTheAbyssDim$WorldProviderMod           |
|     5 |                5 | theabyssunderground |            true |             true | net.yezon.theabyss.world.WorldTheAbyssUnderground$WorldProviderMod   |
|     7 |                7 | death               |            true |             true | net.yezon.theabyss.world.WorldDeath$WorldProviderMod                 |
|   -23 |              -23 | midnight            |           false |            false | com.mushroom.midnight.common.world.MidnightWorldProvider             |
|    12 |               12 | AetherI             |           false |            false | com.gildedgames.the_aether.world.AetherWorldProvider                 |
|     3 |                3 | tardis              |           false |             true | net.tardis.mod.common.dimensions.WorldProviderTardis                 |
|     6 |                6 | space               |           false |            false | net.tardis.mod.common.dimensions.space.SpaceProvider                 |
|     8 |                8 | telos               |           false |            false | net.tardis.mod.common.dimensions.telos.WorldProviderTelos            |
|     9 |                9 | moon                |           false |            false | net.tardis.mod.common.dimensions.moon.MoonProvider                   |
|    11 |               11 | gallifrey           |           false |            false | net.tardis.mod.common.dimensions.gallifrey.WorldProviderGallifrey    |
|    69 |               69 | misty_world         |           false |            false | ru.liahim.mist.world.WorldProviderMist                               |
|  4598 |             4598 | nc_wasteland        |           false |            false | nc.worldgen.dimension.WorldProviderWasteland                         |
|     1 |                1 | End                 |           false |            false | fluke.stygian.world.WorldProviderEndBiomes                           |
|    -2 |                3 | space               |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderSpace        |
|  -777 |                7 | twilight_forest     |           false |            false | twilightforest.world.WorldProviderTwilightForest                     |
|   124 |              -11 | Storage Cell        |            true |             true | appeng.spatial.StorageWorldProvider                                  |
|    21 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    32 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    33 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    34 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    35 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    36 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    37 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    23 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    24 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    25 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    26 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    27 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    28 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    29 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    30 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    31 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    48 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    49 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    50 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    51 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    38 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    39 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    40 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    41 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    42 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    43 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    44 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    45 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    46 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    47 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    65 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    67 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    52 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    53 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    68 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    70 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    71 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    54 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    55 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    56 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    57 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    58 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    59 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    60 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    61 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    64 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    62 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    63 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    72 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    73 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    74 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    75 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    76 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    77 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    78 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    79 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    80 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    81 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    82 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    83 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    84 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    85 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    86 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    87 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    88 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    89 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    90 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    91 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    96 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    97 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    98 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    99 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|   100 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|   101 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    93 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    94 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    95 |                2 | planet              |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet       |
|    -1 |               -1 | Nether              |           false |            false | logictechcorp.netherex.world.WorldProviderNetherEx                   |
+-------+------------------+---------------------+-----------------+------------------+----------------------------------------------------------------------+
|    ID | DimensionType ID | Name                | shouldLoadSpawn | Currently loaded | WorldProvider class                                                  |
+-------+------------------+---------------------+-----------------+------------------+----------------------------------------------------------------------+
